account,campaign_name,adgroup_name,keyword,local_date,impressions,clicks,cost,currency,media_source,portal
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted fr,2019-03-09,85,55,0.89,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-02-06,22548,10119,272.22,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted fr,2019-03-06,29,13,0.91,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,winted,2019-02-06,74,42,1.25,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted fr,2019-03-10,10,4,0.1,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-03-04,814,252,26.72,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-03-10,486,162,20.09,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,+vinted +app,2019-02-24,7,2,0.05,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted femme,2019-02-04,843,435,10.02,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted app,2019-02-11,95,52,2.51,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted app,2019-02-04,102,69,1.16,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted femme,2019-02-18,784,354,9.73,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted app,2019-02-19,103,52,2.44,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,+vinted +app,2019-03-01,4,1,0.05,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted app,2019-02-05,2,1,0.15,EUR,Google,fr
FR-SEM-Brand,Google_Brand_FR-FR_Vinted_DW_CPC,Brand|E,vinted,2019-03-07,4655,1112,22.44,EUR,Google,fr
FR-SEM-Brand,Google_Brand_FR-FR_Vinted_DW_CPC,Brand|E,vinted,2019-03-08,24134,6186,169.87,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,winted,2019-02-28,92,47,1.36,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-03-10,516,193,24.07,EUR,Google,fr
FR-SEM-Brand,Google_Brand_FR-FR_Vinted_DW_CPC,Brand|B,vinted,2019-03-09,8,3,0.12,EUR,Google,fr
FR-SEM-Brand,Google_Brand_FR-FR_Vinted_MW_CPC,Brand|P,vinted,2019-03-09,2716,501,56.19,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,winted,2019-02-14,73,31,0.72,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-03-02,999,289,27.63,EUR,Google,fr
FR-Display-UAC,FR_Android_Branded_Universal_4_no_img_no_video,,,2019-03-06,11855,2263,462.02,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-03-10,4046,2235,89.28,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinetd,2019-02-07,28,10,0.32,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Install,,,2019-03-09,13021,56,31.61,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-02-07,613,156,18.12,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-02-17,17051,8203,192.18,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-02-18,24505,11581,268.85,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinetd,2019-02-05,31,15,0.36,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-03-08,314,128,11.83,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Lister,,,2019-02-23,74336,509,270.45,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Install,,,2019-02-08,1611,3,1.83,EUR,Google,fr
