account_name,campaign_name,adgroup_name,name,fb_objective,local_date,campaign_start_date,impressions,clicks,cost,currency,portal
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM-1d_Lister,Feed | All | Lookalike | FR - Android - First Listers - 30d - Lookalike FR 1% | F | 18-45,Install-Now | K_Earn-3 | Carousel | Gagne | INSTALL_MOBILE_APP | Carousel - Kids - FR - 1 A.png,APP_INSTALLS,2019-03-04,2018-11-23 11:49:55,26,0,0.07,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Broad |  | M | 18-45,Install-Now | W_Sell-3 | Static | INSTALL_MOBILE_APP | 3in1 - Mens FR - 5 A.png,APP_INSTALLS,2019-02-17,2018-11-22 18:48:53,657,2,1.45,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Broad |  | M | 18-45,W_Sell-3 | Static | INSTALL_MOBILE_APP | 3in1 - Mens FR - 2 B.png,APP_INSTALLS,2019-02-22,2018-11-22 18:48:53,118,0,0.16,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Lookalike | FR - iOS - First Listers - 30d - Lookalike FR 3% | F | 18-45,Install-Now | K_Sell-4 | Static | INSTALL_MOBILE_APP | FRB-389-Sell-040.jpg,APP_INSTALLS,2019-02-17,2018-11-22 18:48:53,15112,39,57.54,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Lister,Lookalike | FR - Android - First Listers - 30d - Lookalike FR 3% | All | W | 18-45 | Feed | Mobile | All,K_Earn-3 | Feed-Static | Use App | FRB-389-Sell-045.jpg,APP_INSTALLS,2019-02-09,2018-11-23 11:49:55,918,8,2.2,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Story | All | Broad |  | F | 18-45,K_Earn-3 | Video |  | Kids-1x1-v1.mp4,APP_INSTALLS,2019-03-07,2018-11-22 18:48:53,23,0,0.12,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Lister,Feed | All | Broad |  | F | 18-45,K_Earn-1 | Feed-Static | Install App | FRB-389-Sell-045.jpg |  | FRB-389-Sell-045.jpg,APP_INSTALLS,2019-02-22,2018-11-23 11:49:55,982,3,1.75,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Lookalike | FR - iOS - First Listers - 30d - Lookalike FR 3% | F | 18-45,Install-Now | K_Earn-3 | Carousel | Creative-v1 | INSTALL_MOBILE_APP | Carousel - Adults - FR - 1.png,APP_INSTALLS,2019-02-28,2018-11-22 18:48:53,234,5,0.08,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Lister,Feed | All | Broad |  | F | 18-45,Install-Now | K_Earn-3 | Carousel | Gagne | INSTALL_MOBILE_APP | Carousel - Kids - FR - 1 A.png,APP_INSTALLS,2019-02-22,2018-11-23 11:49:55,924,6,2.61,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM-7d_Lister,Feed | All | Broad |  | F | 18-45,K_Earn-3 | Video |  |,APP_INSTALLS,2019-03-04,2019-03-04 15:34:50,304,0,0.76,EUR,fr
